Stock,SVM_Bearish_Probability,SVM_Bullish_Probability,RF_Bearish_Probability,RF_Bullish_Probability,BERT_Bearish_Probability,BERT_Bullish_Probability,bearish_probability,bullish_probability
ITC,0.4127838384110839,0.5872161615889159,0.97,0.03,0.21272029,0.7872797,0.5318347094124923,0.4681652955545614
JIOFIN,0.07296841686094845,0.9270315831390514,0.87,0.13,0.98212415,0.017875908,0.6416975222200985,0.35830249702723477
JSWSTEEL,0.1394654175810636,0.8605345824189364,1.0,0.0,5.126747e-06,0.9999949,0.37982351477603965,0.620176485473162
KOTAKBANK,0.018107158208170424,0.9818928417918298,1.0,0.0,2.1327546e-06,0.99999785,0.3393697636542623,0.6606302320082059
LT,0.9767588799805796,0.023241120019420313,1.0,0.0,0.06701069,0.93298936,0.6812565244108888,0.3187434929737993
M&M,0.17232804248233535,0.8276719575176646,0.06,0.94,0.8115349,0.18846512,0.3479543080247107,0.6520456919752893
MARUTI,0.6475465611810323,0.3524534388189677,0.1,0.9,1.1006792e-09,1.0,0.24918218742723716,0.750817812939656
NESTLEIND,0.5513833439880003,0.44861665601199957,0.99,0.01,0.9990023,0.0009976799,0.8467952072797017,0.15320477863404433
NTPC,0.22249636022740069,0.7775036397725992,0.97,0.03,0.41140088,0.5885991,0.534632414872426,0.4653675751934665
ONGC,0.02151836213104651,0.9784816378689536,1.0,0.0,5.494693e-08,0.99999994,0.3405061390259923,0.6594938594214362
POWERGRID,0.3809907689467189,0.6190092310532811,0.99,0.01,3.356819e-05,0.99996644,0.45700811237914024,0.5429918912127575
RELIANCE,0.9921760389719112,0.007823961028088763,0.93,0.07,0.05631769,0.9436823,0.6594979099106029,0.34050209133116066
SBILIFE,0.5955752607907068,0.4044247392092933,1.0,0.0,0.9805559,0.019444153,0.8587103842604561,0.14128963064070507
SBIN,0.8552752086412236,0.14472479135877642,1.0,0.0,0.9659727,0.034027252,0.9404159767393048,0.05958401456835122
SHRIRAMFIN,0.34144581042161776,0.6585541895783822,0.64,0.36,0.9726919,0.027308108,0.6513792346663978,0.34862076595448394
SUNPHARMA,0.39828576501042556,0.6017142349895745,0.6,0.4,0.99997735,2.2672286e-05,0.6660877050818036,0.33391230242516573
TATACONSUM,0.5102997669305095,0.48970023306949084,1.0,0.0,0.011306633,0.98869336,0.5072021333906614,0.4927978631944893
TATAMOTORS,0.1554443885592875,0.8445556114407125,0.34,0.66,0.99703896,0.0029610205,0.4974944496720452,0.5025055439639172
TATASTEEL,0.5377946420704693,0.4622053579295305,0.38,0.62,5.617137e-08,0.99999994,0.30593156608061306,0.6940684327749619
TCS,0.5439517368278135,0.4560482631721866,0.96,0.04,0.666888,0.333112,0.7236132451362488,0.2763867548637513
TECHM,0.12533823522771756,0.8746617647722824,0.33,0.67,3.0334417e-05,0.99996966,0.15178952321484118,0.8482104753360306
TITAN,0.6195901909926643,0.3804098090073356,0.39,0.61,0.999996,3.997146e-06,0.6698620658271549,0.33013793538444375
TRENT,0.2796406801980535,0.7203593198019468,1.0,0.0,0.0008835837,0.9991164,0.42684142129199537,0.5731585801825988
ULTRACEMCO,0.15290243379562496,0.847097566204375,1.0,0.0,4.9943655e-08,0.99999994,0.3843008279130931,0.6156991688665768
WIPRO,0.8290850921390007,0.17091490786099936,0.32,0.68,0.00035953813,0.99964046,0.38314821008888966,0.6168517908812381
ZOMATO,0.8172517569369275,0.18274824306307236,0.0,1.0,0.56619257,0.43380743,0.4611481080951359,0.538851891904864
